产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->复合调味品,麻辣烫底料,莱芜市世纪联华商贸有限公司,山东市场监管局,合格,2015-02-05,,150g/袋,苏大姐,重庆苏大姐食品有限公司,重庆市沙坪坝区梨树湾芭蕉沟168号,莱芜市世纪联华商贸有限公司,山东省莱芜市莱城区大桥镇北首,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477753
调味品-->复合调味品,火锅底料,莱芜莱钢福来德经贸有限公司,山东市场监管局,合格,2015-02-05,,130g/袋,大重庆,天津市海胜食品饮料有限公司,京福路九富闸西幸福路北七排6号,莱芜莱钢福来德经贸有限公司,山东省莱芜市钢城区新兴路中段,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477754
调味品-->复合调味品,美味清汤,郓城县家和商贸有限公司,山东市场监管局,合格,2015-02-05,,200g/袋,草原红太阳,内蒙古红太阳食品有限公司,呼和浩特裕隆工业园C区15号,郓城县家和商贸有限公司,菏泽市郓城县孙膑路与黄河街交叉路口,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477755
调味品-->复合调味品,水煮肉片（精制调味料）,山东明大实业集团有限公司,山东市场监管局,合格,2015-02-05,,100g/袋,旺顺,内蒙古旺顺食品有限公司,呼和浩特市回民鄂尔多斯西街（西二环向东100米）,山东明大实业集团有限公司,山东省东明县五四路中段49号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477756
调味品-->复合调味品,蘸上鲜火锅沾料,广饶鲁百百货大楼有限责任公司,山东市场监管局,合格,2015-02-05,,180g/袋,蒙香,内蒙古蒙香调味食品有限公司,呼和浩特市金桥开发区昭乌达路南口,广饶鲁百百货大楼有限责任公司,东营市广饶县新天地商务中心,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477757
调味品-->复合调味品,康熙草原火锅蘸料（美味）,利津鲁百百货大楼有限公司,山东市场监管局,合格,2015-02-05,,120g/袋,老才臣,北京市老才臣食品有限公司,北京市平谷区兴谷经济开发区5号区,利津鲁百百货大楼有限公司,东营市利津县津二路,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477758
调味品-->复合调味品,红99重庆火锅浓缩底料,利津县北宋中心超市,山东市场监管局,合格,2015-02-05,,150g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,利津县北宋中心超市,东营市利津县北宋镇镇府驻地,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477759
调味品-->复合调味品,红99重庆火锅浓缩底料,利津县小小得月楼,山东市场监管局,合格,2015-02-05,,400g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,利津县小小得月楼,东营市利津县津二路,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477760
调味品-->复合调味品,肥羊王火锅沾料,广饶鲁百百货大楼有限责任公司,山东市场监管局,合格,2015-02-05,,140g/袋,华程食品,内蒙古华程科贸有限责任公司,内蒙古呼和浩特金川开发区蒙吉利小区,广饶鲁百百货大楼有限责任公司,东营市广饶县新天地商务中心,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477761
调味品-->复合调味品,重庆火锅浓缩底料,广饶县大王镇齐禧顺风肥牛火锅城,山东市场监管局,合格,2015-02-05,,400g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,广饶县大王镇齐禧顺风肥牛火锅城,东营市广饶县大王镇常春路3号镇政府驻地,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477762
